2021-02-22 13:49:29 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:119 |com.river.site.controller.publics.PublicNotebookController |查询笔记详情开始
2021-02-22 13:49:29 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:136 |com.river.site.controller.publics.PublicNotebookController |查询笔记详情结束
2021-02-22 14:04:38 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-02-22 14:04:40 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:119 |com.river.site.controller.publics.PublicNotebookController |查询笔记详情开始
2021-02-22 14:04:40 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:136 |com.river.site.controller.publics.PublicNotebookController |查询笔记详情结束
2021-02-22 15:48:15 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-02-22 15:48:29 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:48:29 |INFO  |XNIO-1 task-4 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-22 15:48:34 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:48:34 |INFO  |XNIO-1 task-4 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-02-22 15:48:34 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:48:34 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-02-22 15:49:04 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:49:04 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:103 |com.river.site.controller.NotebookCategoryController |新增/修改笔记分类开始 
2021-02-22 15:49:04 |INFO  |XNIO-1 task-2 |CacheCommonManage.java:98 |com.river.common.core.component.CacheCommonManage |清除redis缓存，prefix=river-site:notebook,key=null
2021-02-22 15:49:06 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:49:06 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-02-22 15:49:06 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:49:06 |INFO  |XNIO-1 task-2 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-22 15:49:11 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:49:11 |INFO  |XNIO-1 task-2 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-22 15:49:13 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:49:13 |INFO  |XNIO-1 task-2 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-22 15:49:13 |INFO  |XNIO-1 task-2 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-22 15:49:13 |INFO  |XNIO-1 task-2 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-22 15:49:36 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:49:36 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 15:50:18 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 15:50:18 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:02:08 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:02:08 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:05:38 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:05:38 |INFO  |XNIO-1 task-2 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-22 16:05:40 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:05:40 |INFO  |XNIO-1 task-2 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-22 16:05:42 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:05:42 |INFO  |XNIO-1 task-2 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-22 16:05:42 |INFO  |XNIO-1 task-2 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-22 16:05:42 |INFO  |XNIO-1 task-2 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-22 16:22:23 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:22:23 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:24:14 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:24:14 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:25:14 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:25:14 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:26:10 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:26:10 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:28:29 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:28:29 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:28:44 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
